cust_id,country,cust_name,cust_type
CUST-00001,ID,Yoga Gunawan,Regular
CUST-00002,MY,Khairul Nasir,Platinum
CUST-00003,ID,Fajar Saputra,Regular
CUST-00004,ID,Rizki Siregar,Regular
CUST-00005,ID,Nur Pratama,Regular
CUST-00006,MY,Siti Yusof,Regular
CUST-00007,ID,Rizki Nugroho,Silver
CUST-00008,ID,Rudi Saputra,Gold
CUST-00009,ID,Dwi Wibowo,Regular
CUST-00010,ID,Rina Tjahyono,Platinum
CUST-00011,ID,Rina Mahendra,Regular
CUST-00012,ID,Agus Pratama,Regular
CUST-00013,ID,Ayu Mahendra,Gold
CUST-00014,MY,Nadia Jamal,Regular
CUST-00015,ID,Sari Wibowo,Regular
CUST-00016,ID,Sari Siregar,Gold
CUST-00017,ID,Wulan Lestari,Gold
CUST-00018,MY,Zulkifli Jamal,Gold
CUST-00019,ID,Rizki Sutanto,Regular
CUST-00020,MY,Aisyah Othman,Silver
CUST-00021,MY,Nurul Salleh,Silver
CUST-00022,MY,Syafiq Halim,Regular
CUST-00023,ID,Yoga Rahmawati,Silver
CUST-00024,ID,Wulan Permata,Silver
CUST-00025,MY,Hakim Jamal,Regular
CUST-00026,ID,Agus Hidayat,Gold
CUST-00027,SG,Lau Jia Hui,Regular
CUST-00028,ID,Agus Hidayat,Gold
CUST-00029,ID,Rudi Sutanto,Silver
CUST-00030,ID,Wulan Wibowo,Regular
CUST-00031,SG,Quek Sarah,Regular
CUST-00032,MY,Nadia Zainal,Silver
CUST-00033,ID,Rina Santoso,Regular
CUST-00034,MY,Azlan Razak,Gold
CUST-00035,ID,Agus Wibowo,Regular
CUST-00036,SG,Chan Sarah,Silver
CUST-00037,ID,Ayu Pamungkas,Regular
CUST-00038,ID,Agus Saputra,Platinum
CUST-00039,MY,Syafiq Abdullah,Regular
CUST-00040,ID,Putri Gunawan,Regular
CUST-00041,MY,Farah Basri,Silver
CUST-00042,ID,Nur Santoso,Regular
CUST-00043,ID,Yoga Tjahyono,Gold
CUST-00044,ID,Rina Rahmawati,Regular
CUST-00045,MY,Khairul Rahman,Regular
CUST-00046,ID,Indra Permata,Regular
CUST-00047,MY,Nurul Shah,Platinum
CUST-00048,ID,Agus Nugroho,Regular
CUST-00049,ID,Nur Rahmawati,Regular
CUST-00050,MY,Aisyah Salleh,Gold
CUST-00051,SG,Chew Nicholas,Regular
CUST-00052,SG,Chew Rachel,Regular
CUST-00053,ID,Indra Pamungkas,Regular
CUST-00054,ID,Putri Halim,Silver
CUST-00055,ID,Ayu Sutanto,Regular
CUST-00056,ID,Anisa Halim,Gold
CUST-00057,MY,Nurul Aziz,Gold
CUST-00058,ID,Andi Rahmawati,Regular
CUST-00059,ID,Anisa Mahendra,Regular
CUST-00060,ID,Sari Siregar,Silver
CUST-00061,ID,Anisa Pratama,Silver
